frame_index,material_id,formula,n_atoms,ref_bec_asr_max_abs,pred_bec_asr_max_abs
848,mp-23162,Cl2Zr,3,0.012220000000000009,1.2999999999922796e-07
1295,mp-7173,PtSbSc,3,0.012169999999999792,5.999999999062311e-07
1242,mp-13654,Au6Sb8Y6,20,0.01210000000000222,2.9000000014572924e-07
1108,mp-14206,Ag3As2K3,8,0.011909999999999865,2.1000000027804333e-07
761,mp-569766,I4Te4,8,0.011800000000000255,5.100000000091143e-07
218,mp-8300,As2Ba4O,7,0.01175999999999977,7.20000000065113e-07
820,mp-12779,Cd2Te2,4,0.011699999999999378,2.399999998736746e-07
815,mp-8938,Mo3Si6,9,0.01169999999999849,2.6200000000642376e-06
196,mp-401,S12Sc8,20,0.011609999999999232,9.499999920059565e-07
67,mp-486,Ni2P4,6,0.011529999999999707,2.299999999344493e-07
1247,mp-23021,Br6K2Re,9,0.01149,3.600000006986903e-07
777,mp-14285,Co4P8,12,0.01129999999999809,9.599999999387876e-07
1281,mp-31455,RuSbV,3,0.011280000000000179,1.189999999873237e-06
758,mp-27871,Br6Rh2,8,0.011269999999999725,1.7000000010480854e-07
477,mp-17862,Ag6Ge10P12,28,0.011260000000001824,5.600000000383076e-07
1058,mp-675180,CuErSe2,4,0.01113,8.500000006073094e-07
1277,mp-30459,BiNiSc,3,0.011109999999999842,5.900000001890504e-07
235,mp-23484,Au2Cl6Cs2,10,0.011069999999999691,2.5000000031250025e-07
71,mp-754629,N6W3,9,0.011039999999999495,1.4300000008571345e-06
1301,mp-961682,PdSnTi,3,0.010969999999999924,7.100000001258877e-07
1065,mp-7027,B2In2O6,10,0.010960000000000525,1.0800000014299371e-06
200,mp-11025,P16Zn8,24,0.010919999999998709,5.899999984126936e-07
63,mp-23281,I6Sb2,8,0.010740000000000638,3.600000004766457e-07
967,mp-571035,Cl4Os,5,0.010660000000000114,1.9999999989472883e-07
834,mp-2402,Na8Si8,16,0.010399999999998188,4.700000001411908e-07
876,mp-567505,C8Si8,16,0.010050000000001003,7.300000008925167e-07
44,mp-540789,I4Pb2,6,0.010049999999999448,2.400000000957192e-07
1299,mp-9437,FeNbSb,3,0.009949999999999903,1.4300000001910007e-06
863,mp-2695,Os2Sb4,6,0.009879999999999,2.13999999942871e-06
110,mp-757,As2Li6,8,0.009839999999998739,4.3000000049531195e-07
132,mp-2691,CdSe,2,0.00973999999999986,2.400000000957192e-07
344,mp-7439,Cu3K3P2,8,0.009719999999999507,2.8000000029670957e-07
1023,mp-23472,Ag2Cl6Re,9,0.009689999999999643,4.3000000071735656e-07
19,mp-568018,Rb2Sb4,6,0.009660000000000224,2.400000003177638e-07
178,mp-568598,Cu2HgI4,7,0.009500000000000508,7.099999999038431e-07
182,mp-754908,Cr2Nb2O8,12,0.009160000000000057,4.770000000986485e-06
435,mp-14193,F6K2Th,9,0.009000000000001451,4.0000000023354687e-07
40,mp-1201,Sb2Te3,5,0.008859999999999424,1.9000000004432138e-06
1279,mp-30847,PtSnTi,3,0.00885000000000069,7.100000001258877e-07
574,mp-7792,S12Sc4Y4,20,0.008840000000001957,9.499999971129824e-07
946,mp-35539,GeSe4Zn2,7,0.008810000000000429,3.1000000055847465e-07
808,mp-569595,I4Pb2,6,0.00871999999999995,3.499999998712866e-07
1176,mp-9575,Be2Li2Sb2,6,0.008689999999999198,6.59999999985672e-07
1120,mp-3532,AgCrSe2,4,0.008649999999999824,7.20000000065113e-07
1185,mp-4731,F6K2U,9,0.008560000000000678,4.100000010609506e-07
987,mp-9321,Ba2HfS4,7,0.008459999999999468,9.5999999860652e-07
568,mp-14336,Cs2Ni3Se4,9,0.008390000000000675,1.6999999974398605e-07
926,mp-19006,Mn2O2,4,0.008340000000000458,1.419999999363597e-06
28,mp-505366,Au4Br4,8,0.00829000000000013,2.899999999861347e-07
238,mp-569548,Au2Br6Cs2,10,0.008199999999999874,3.5999999986602305e-07
65,mp-567504,Cl6Cr2,8,0.008159999999999917,2.500000000210667e-07
140,mp-20194,CeO2,3,0.008080000000000531,9.599999999387876e-07
936,mp-27300,Au2Br6Rb2,10,0.007989999999999498,1.5000000008758008e-07
192,mp-22870,Br2In2,4,0.007689999999999753,1.299999998760626e-07
34,mp-22877,Cl2V,3,0.00764999999999999,3.499999999823089e-07
756,mp-27630,Cl6Cr2,8,0.007229999999999848,3.999999997339465e-07
879,mp-8882,Ga2P2,4,0.007159999999999833,3.700000001938264e-07
84,mp-2319,Os2P4,6,0.007120000000000459,1.2000000007006406e-06
203,mp-14983,P4RuSi4,9,0.007060000000000954,9.200000006259756e-07
113,mp-28400,P12Ru4,16,0.00705999999999829,1.4900000016027093e-06
452,mp-866132,Na2SbTl,4,0.007049999999999557,4.1000000017277216e-07
322,mp-4385,C2Cd2O6,10,0.007000000000002782,1.9000000022195707e-06
61,mp-32780,Au4Cl4,8,0.006979999999999875,2.2000000010624632e-07
12,mp-7583,S8Si4,12,0.006940000000002167,5.900000009662065e-07
810,mp-19399,Cr4O6,10,0.006939999999999502,9.499999988893393e-07
1271,mp-21272,Er4Ni4Sb4,12,0.006840000000001678,5.999999997119421e-07
415,mp-696944,H2Br4La2,8,0.006810000000000427,5.899999999670058e-07
1258,mp-11520,NiSbY,3,0.0067900000000001015,2.1000000006987651e-07
865,mp-766,As4Ru2,6,0.006579999999999586,9.499999995554731e-07
833,mp-571518,Cl6W,7,0.006489999999999552,7.499999997717666e-07
204,mp-29157,P4Pt2Si6,12,0.006480000000000707,1.0100000014112709e-06
1183,mp-13978,F6Rb2Th,9,0.006399999999999295,1.1700000008829647e-06
846,mp-1434,MoS2,3,0.0063600000000000045,6.999999996315509e-08
773,mp-10155,Ir4P8,12,0.006319999999998771,4.7000000158448074e-07
891,mp-27173,P12Ru3,15,0.006219999999999004,2.3900000005738775e-06
174,mp-557373,Cu2S4W,7,0.006209999999999938,2.4000000015123035e-07
131,mp-2624,Al4Sb4,8,0.006199999999999317,9.600000006049214e-07
812,mp-861979,Ir4S6,10,0.0061699999999984545,2.400000005398084e-07
358,mp-697921,H8Mg5O9,22,0.006119999999999681,6.999999999646178e-07
1191,mp-863251,AuSbSr2,4,0.006110000000000282,6.000000001282757e-07
825,mp-927,Cu4P8,12,0.006100000000000105,2.999999998976044e-07
398,mp-22950,Cl6Cs2Ni2,10,0.005799999999998695,4.2000000022301975e-07
1274,mp-2894,AuScSn,3,0.005759999999999987,4.2000000011199745e-07
17,mp-28879,Ca5P8,13,0.00570000000000026,8.300000016170372e-07
1305,mp-961711,PtSiZr,3,0.005700000000000038,4.800000001914384e-07
974,mp-7623,As16Mg4,20,0.00568000000000124,6.800000003082118e-07
813,mp-22896,Cl6La2,8,0.005640000000000089,4.90000000241686e-07
102,mp-7440,Na8P8,16,0.0056000000000007155,3.2000000049769994e-07
176,mp-24341,H6Be2Cs2,10,0.005489999999999662,1.1999999965928154e-07
920,mp-947,Au4S2,6,0.005420000000000036,1.1000000003240727e-07
762,mp-684969,S6Sc4,10,0.00541999999999998,4.800000024118845e-07
766,mp-570844,Ga12Os4,16,0.005359999999992482,1.4399999948011555e-06
951,mp-4024,Ag2Dy2Te4,8,0.0053200000000002134,6.99999999298484e-07
660,mp-23771,C9H9O18Sm3,39,0.005309999999994375,1.7800000040590902e-06
755,mp-27455,Cl6Y2,8,0.0052000000000000934,4.199999987797298e-07
95,mp-567542,I8Pb4,12,0.0051400000000002555,3.499999994271974e-07
969,mp-1602,S4Si2,6,0.005099999999999438,3.600000000325565e-07
862,mp-2455,As4Os2,6,0.005040000000001044,1.18999999809688e-06
239,mp-697133,H4CaCs2,7,0.0049800000000004285,7.899999997507123e-07
908,mp-1986,OZn,2,0.004979999999999762,4.799999997473492e-07
1304,mp-961706,PtSiTi,3,0.0049600000000005195,4.799999997473492e-07
