time_ps,P_autocorr_avg,alpha_autocorr_avg
6.844000000000000306e+00,4.224166524749866508e-02,-4.005768870738693650e-03
6.846000000000000085e+00,4.499551151063533455e-02,-7.920150428421920269e-03
6.847999999999999865e+00,4.602676487949786122e-02,-1.100041952277586166e-02
6.849999999999999645e+00,4.508148441193979283e-02,-1.351875219275173665e-02
6.852000000000000313e+00,4.208603655627414508e-02,-1.568091727842861258e-02
6.854000000000000092e+00,3.716181895282594932e-02,-1.753090296429605718e-02
6.855999999999999872e+00,3.061466233994910788e-02,-1.897262029032662986e-02
6.857999999999999652e+00,2.290028130691516839e-02,-1.987477081282920666e-02
6.860000000000000320e+00,1.457038995782725284e-02,-2.017904894678798980e-02
6.862000000000000099e+00,6.206784422974534650e-03,-1.993887862954318163e-02
6.863999999999999879e+00,-1.647653908246976768e-03,-1.926695371608595775e-02
6.865999999999999659e+00,-8.551572377121115925e-03,-1.823020184566450166e-02
6.868000000000000327e+00,-1.421278410504397266e-02,-1.676327254994717728e-02
6.870000000000000107e+00,-1.851455543021774883e-02,-1.466126980137670045e-02
6.871999999999999886e+00,-2.151707052523797042e-02,-1.166873173000156430e-02
6.873999999999999666e+00,-2.343414976845564768e-02,-7.630484071709932141e-03
6.876000000000000334e+00,-2.458887350183722176e-02,-2.634881099621594336e-03
6.878000000000000114e+00,-2.535482743162073213e-02,2.923200058272095846e-03
6.879999999999999893e+00,-2.609171204625364976e-02,8.400843709020550457e-03
6.881999999999999673e+00,-2.708479877863394225e-02,1.307399678518831980e-02
6.884000000000000341e+00,-2.849697453587219514e-02,1.634619206232018271e-02
6.886000000000000121e+00,-3.034010467999362706e-02,1.790767096748249049e-02
6.887999999999999901e+00,-3.246967506600575981e-02,1.777443914507333134e-02
6.889999999999999680e+00,-3.460335599244260957e-02,1.619656663961929755e-02
6.892000000000000348e+00,-3.636073089644694528e-02,1.349361890348851033e-02
6.894000000000000128e+00,-3.731861531071502258e-02,9.913140863501517658e-03
6.895999999999999908e+00,-3.707414905154948759e-02,5.591828000817662854e-03
6.897999999999999687e+00,-3.530695657461945663e-02,6.358046587462243575e-04
6.900000000000000355e+00,-3.183166248351660538e-02,-4.738054394516447512e-03
6.902000000000000135e+00,-2.663326000917784833e-02,-1.009943507480755287e-02
6.903999999999999915e+00,-1.988020726433047461e-02,-1.482347354986161651e-02
6.905999999999999694e+00,-1.191306899483294407e-02,-1.824758856890143152e-02
6.908000000000000362e+00,-3.209921211129330293e-03,-1.990245394449564539e-02
6.910000000000000142e+00,5.666893057500374357e-03,-1.970478768708238543e-02
6.911999999999999922e+00,1.413543315947573230e-02,-1.800977439241888134e-02
6.913999999999999702e+00,2.166141342602971587e-02,-1.548595908698005043e-02
6.916000000000000369e+00,2.781881510892254827e-02,-1.286293466551838294e-02
6.918000000000000149e+00,3.233559705733191764e-02,-1.066725181464486631e-02
6.919999999999999929e+00,3.511840136938838841e-02,-9.070381846024763023e-03
6.921999999999999709e+00,3.625315629167961962e-02,-7.916424857459374367e-03
6.924000000000000377e+00,3.598182202707050914e-02,-6.903909926164953498e-03
6.926000000000000156e+00,3.465907045064457737e-02,-5.813604394573107688e-03
6.927999999999999936e+00,3.269531918314462493e-02,-4.651245442250143657e-03
6.929999999999999716e+00,3.049445656076348043e-02,-3.626824674842098282e-03
6.932000000000000384e+00,2.839502436560276816e-02,-2.992236961836008523e-03
6.934000000000000163e+00,2.662306395874112011e-02,-2.846547277081203954e-03
6.935999999999999943e+00,2.526298241148955750e-02,-3.038551688970746786e-03
6.937999999999999723e+00,2.425032100142208991e-02,-3.236514643421519854e-03
6.940000000000000391e+00,2.338730171320492837e-02,-3.131544379304473675e-03
6.942000000000000171e+00,2.237886666669324648e-02,-2.657000890720156126e-03
6.943999999999999950e+00,2.088421264324701737e-02,-2.091535822748505444e-03
6.945999999999999730e+00,1.857653029926011057e-02,-1.975698377690523946e-03
6.948000000000000398e+00,1.520242384446029993e-02,-2.875135654502694246e-03
6.950000000000000178e+00,1.063224383365585744e-02,-5.107911167422186927e-03
6.951999999999999957e+00,4.893668234212184692e-03,-8.573277796406621881e-03
6.953999999999999737e+00,-1.816975391873159110e-03,-1.276517238299560916e-02
6.956000000000000405e+00,-9.147922641583226822e-03,-1.695740928135376982e-02
6.958000000000000185e+00,-1.662842177272926686e-02,-2.046086007366158116e-02
6.959999999999999964e+00,-2.372349018269757914e-02,-2.282194176245255432e-02
6.961999999999999744e+00,-2.989924786767267709e-02,-2.387169743758464288e-02
6.964000000000000412e+00,-3.468952279367691627e-02,-2.362361278360804173e-02
6.966000000000000192e+00,-3.775421382561019307e-02,-2.210534224149465765e-02
6.967999999999999972e+00,-3.892114377293934974e-02,-1.924513136970510893e-02
6.969999999999999751e+00,-3.820561241544667003e-02,-1.489599639496117303e-02
